Date,AAPL,MSFT
29/05/2001,10.74,35.17
30/05/2001,9.89,34.59
31/05/2001,9.97,34.59
1/06/2001,10.45,35.17
4/06/2001,10.33,35.39
5/06/2001,10.47,36.3
6/06/2001,10.36,36.18
7/06/2001,10.83,36.82
8/06/2001,10.66,36.59
11/06/2001,10.02,36.06
12/06/2001,10.16,36.04
13/06/2001,10.24,35.34
14/06/2001,9.94,34.45
15/06/2001,10.22,34.01
18/06/2001,10.16,33.44
19/06/2001,10.09,33.66
20/06/2001,10.84,34.7
21/06/2001,11.24,34.92
22/06/2001,11.13,34.42
25/06/2001,12,34.42
26/06/2001,11.88,35.07
27/06/2001,11.67,35.57
28/06/2001,11.77,36.37
29/06/2001,11.62,36.5
2/07/2001,11.95,35.3
3/07/2001,11.92,35.24
5/07/2001,11.59,34.26
6/07/2001,11.01,33.03
9/07/2001,11.35,32.84
10/07/2001,10.57,32.24
11/07/2001,11.27,33.25
12/07/2001,12.18,35.8
13/07/2001,12.42,35.67
16/07/2001,11.98,35.59
17/07/2001,12.55,35.91
18/07/2001,10.39,35.28
19/07/2001,9.98,36.28
20/07/2001,9.99,34.59
23/07/2001,9.77,33.54
24/07/2001,9.54,33.16
25/07/2001,9.24,33.67
26/07/2001,9.3,33.3
27/07/2001,9.48,32.74
30/07/2001,9.46,32.9
31/07/2001,9.39,33.09
1/08/2001,9.53,33.24
2/08/2001,9.91,33.72
3/08/2001,9.75,33.45
6/08/2001,9.57,33.07
7/08/2001,9.62,33.18
8/08/2001,9.45,32.43
9/08/2001,9.53,32.5
10/08/2001,9.51,32.76
13/08/2001,9.54,32.92
14/08/2001,9.36,32.34
15/08/2001,9.22,31.6
16/08/2001,9.32,32.31
17/08/2001,9.04,30.94
20/08/2001,9.06,31.35
21/08/2001,8.96,30.39
22/08/2001,9.11,30.33
23/08/2001,8.9,29.56
24/08/2001,9.28,31.03
27/08/2001,9.46,31.16
28/08/2001,9.2,30.37
29/08/2001,8.92,30.12
30/08/2001,8.92,28.47
31/08/2001,9.28,28.53
4/09/2001,9.12,28.05
5/09/2001,9.28,28.87
6/09/2001,8.86,28.01
7/09/2001,8.64,27.7
10/09/2001,8.68,28.79
17/09/2001,8.5,26.46
18/09/2001,8.14,27.16
19/09/2001,8.51,26.93
20/09/2001,7.84,25.38
21/09/2001,7.86,24.86
24/09/2001,8.22,26
25/09/2001,7.77,25.65
